OPOD..,DPOD..,SHIPPER..................,BILLTO..,TR,OS,OCTY......,DS,DCTY......,MVES,RPBM-,FSUR,LMLS,LDYS,EMLS,EDYS,OVCS,MTYV-,TMEV-,LDSV-,FRTQ-,ZIP1..,ZIP2..,ZIP3..,REAL,C: CSR............;C: PLN............;C: SLS............;
AL-BIR,AL-HUN,PCA MADISON          |   ,263159__,V.,AL,LEEDS     ,AL,MADISON   ,   1, 2.11, .00, 107, .25,  72, .30, -33, -153,   -8,  307,  146,35401 ,35094 ,35756 ,1.87,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,GA-ATL,b: ZENGISTICS INC    |   ,1112033_,V.,AL,WARRIOR   ,GA,LITHIA SPR,   3, 2.65, .27, 154, .63,  47, .27,  -9,  -53, -127,   -4, -184,35203 ,35180 ,30057 ,2.68,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-BIR,GA-ATL,LOGISTIC FREIGHT SOLU|   ,1112243_,V.,AL,BIRMINGHAM,GA,EAST POINT,   1, 2.47, .26, 155, .75,  13, .25,  -9,    0, -179,  -32, -211,35020 ,35203 ,30272 ,2.49,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-BIR,GA-ATL,LOWES MLXP VAN ONE WA|   ,29711___,V.,AL,CALERA    ,GA,NEWNAN    ,   7, 3.18, .21, 150, .56,  27, .26,   0,    3, -141,   60,  -78,35040 ,35040 ,30263 ,3.15,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,GA-ATL,PARAMOUNT LOGISTICS L|   ,262126__,V.,AL,BIRMINGHAM,GA,NORCROSS  ,   1, 1.71, .28, 251, .88,   0, .25, -73,    0,  -78,  -10,  -88,35203 ,35203 ,30003 ,1.75,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-BIR,KY-BG.,TRACTOR SUPPLY MANHAT|   ,1111369_,V.,AL,CALERA    ,KY,FRANKLIN  ,   1, 2.60, .21, 266, .35,  28, .25,   0,    0,  150,  323,  473,35020 ,35040 ,42134 ,2.57,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,MS-TUP,b: C H ROBINSON      |   ,243602__,V.,AL,BIRMINGHAM,MS,BOONEVILLE,   1, 2.21, .27, 161, .21,  73, .30, -10, -149,   53,  146,   50,36265 ,35203 ,38829 ,2.24,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,TN-JAC,CARLSTAR             |   ,1111475_,V.,AL,ALABASTER ,TN,JACKSON   ,   5, 2.01, .18, 243, .48,  28, .26,   7,  -27,   27,  122,  122,35020 ,35007 ,38301 ,1.95,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,TN-JAC,S n S TRANSPORTATION |   ,1112003_,V.,AL,BESSEMER  ,TN,JACKSON   ,   4, 1.36, .28, 245, .63,  23, .26, -16,  -44,  -37,  -14,  -95,35111 ,35020 ,38301 ,1.40,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,TN-KNO,AXLE LOGISICS LLC    |   ,1111326_,V.,AL,BIRMINGHAM,TN,LOUDON    ,   1, 2.60, .28, 234, .31,  13, .25, -16,    0,  101,   61,  162,35020 ,35203 ,37774 ,2.64,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-BIR,TN-KNO,b: NOLAN TRANSPORTATI|   ,246507__,V.,AL,ALABASTER ,TN,KNOXVILLE ,   2, 2.27, .28, 274, .82,  19, .25, -19,    0,  -53,   36,  -17,35020 ,35007 ,37950 ,2.31,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-BIR,TN-KNO,b: TOTAL TRANSPORTATI|   ,262506__,V.,AL,BIRMINGHAM,TN,LOUDON    ,   3, 1.90, .28, 234, .75,   4, .25, -17,    0,  -89, -102, -191,35020 ,35203 ,37774 ,1.94,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-BIR,TN-KNO,BORAL BRICK          |   ,200482__,V.,AL,BESSEMER  ,TN,KNOXVILLE ,   2, 2.14, .17, 259, .75,   0, .25,  10,  -64,  -22,  -45, -131,35020 ,35020 ,37950 ,2.07,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
