OPOD..,DPOD..,SHIPPER..................,BILLTO..,TR,OS,OCTY......,DS,DCTY......,MVES,RPBM-,FSUR,LMLS,LDYS,EMLS,EDYS,OVCS,MTYV-,TMEV-,LDSV-,FRTQ-,ZIP1..,ZIP2..,ZIP3..,REAL,C: CSR............;C: PLN............;C: SLS............;
AL-MON,GA-AUG,CORBETT FARMING COMPA|   ,213425__,V.,AL,THOMASVILL,GA,AUGUSTA   ,   1, 1.42, .27, 414, .89, 111, .35, -25,  -61,   -1,  -56, -118,36101 ,36784 ,30901 ,1.47,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-MON,IL-JOL,b: C H ROBINSON      |   ,243602__,V.,AL,PRICHARD  ,IL,SHOREWOOD ,   1, 1.09, .28, 840,2.81,  95, .30, -46,   61, -249, -542, -730,39400 ,36611 ,60410 ,1.15,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-MON,IN-EVA,b: JB HUNT           |   ,263829__,V.,AL,SARALAND  ,IN,EVANSVILLE,   1, 1.39, .27, 558,1.71,  45, .25, -33,   22, -144, -257, -379,39452 ,36571 ,47701 ,1.44,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-MON,IN-LAF,b: RYAN TRANSPORTATIO|   ,305448__,V.,AL,MONTGOMERY,IL,DANVILLE  ,   1, 1.11, .27, 603,2.00,  55, .30, -36,   17, -187, -356, -526,36830 ,36101 ,61832 ,1.16,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-MON,KY-FLO,b: C H ROBINSON      |   ,243602__,V.,AL,MONTGOMERY,KY,MAYSVILLE ,   4,  .97, .28, 558,1.11, 209, .46, -38, -177,   -2, -321, -500,36830 ,36101 ,41056 ,1.03,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-MON,KY-FLO,b: FRONTIER LOGISTICS|   ,1111509_,V.,AL,MONTGOMERY,KY,MAYSVILLE ,   4, 1.14, .29, 558, .89, 128, .36, -44, -103,   50, -221, -274,30003 ,36101 ,41056 ,1.21,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-MON,KY-LEX,b: C H ROBINSON      |   ,243602__,V.,AL,MONTGOMERY,KY,WINCHESTER,   1, 1.78, .28, 509,1.79,  55, .30, -36, -177, -177, -316, -670,36830 ,36101 ,40391 ,1.84,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-MON,KY-LEX,b: RAW LOGISTICS LLC |   ,263239__,V.,AL,MOBILE    ,KY,RICHMOND  ,   1, 1.12, .27, 645,2.21,  46, .25, -39,   21, -236, -630, -845,39452 ,36601 ,40475 ,1.17,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-MON,OH-CIN,REDWOOD LOGISTICS STR|   ,225764__,V.,AL,DEMOPOLIS ,OH,LOVELAND  ,   1, 1.23, .27, 599, .96,  26, .25, -36, -169,   34,   20, -115,35462 ,36732 ,45140 ,1.28,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-MON,OH-TOL,b: HUB GROUP INC     |   ,264651__,V.,AL,MONTGOMERY,OH,VAN BUREN ,   1, 2.49, .28, 722,1.58,  62, .30, -51,    8,    7,  746,  761,36801 ,36101 ,45889 ,2.55,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-MON,SC-CAT,b: C H ROBINSON      |   ,243602__,V.,AL,MONTGOMERY,SC,ROCK HILL ,   2, 1.44, .27, 591,1.41,  65, .30, -36, -177,  -73, -133, -383,36830 ,36101 ,29730 ,1.49,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-MON,SC-FLO,WAL MART SAMS GENERAL|   ,244804__,V.,AL,TROY      ,SC,PAGELAND  ,   1, 1.96, .10, 454,1.13,  76, .30,  49,  -10,  -39,  276,  227,36830 ,36079 ,29728 ,1.84,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-MON,TN-MEM,b: SCOTT LOGISTICS CO|   ,10724___,V.,AL,PRATTVILLE,TN,MEMPHIS   ,   1, 1.54, .27, 305,1.86,  14, .25, -18,   61, -243, -170, -352,36101 ,36066 ,38101 ,1.59,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-MON,TN-NAS,ALLEY CASSETTY TRUCKI|   ,1111667_,V.,AL,MONTGOMERY,TN,GALLATIN  ,   2, 1.19, .27, 308, .92,  35, .28, -19,   38,  -21, -122, -105,36066 ,36101 ,37066 ,1.24,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-MON,TN-NAS,b: PRIORITY 1 INC    |   ,1111867_,V.,AL,GROVE HILL,TN,CROSSVILLE,   1, 1.60, .28, 399, .76,  93, .30, -28,  -38,    3,   64,   29,39452 ,36451 ,38555 ,1.66,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-MON,TN-NAS,b: RED CLASSIC BROKER|   ,250372__,V.,AL,MONTGOMERY,TN,LA VERGNE ,  50, 2.26, .28, 295, .68,  72, .31, -20,  -15,  -33,  189,  141,36830 ,36101 ,37086 ,2.32,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-MON,WI-GB.,REDWOOD LOGISTICS STR|   ,225764__,V.,AL,DEMOPOLIS ,WI,APPLETON  ,   2,  .96, .28, 974,2.44, 156, .40,  -9, -169, -134, -447, -750,36830 ,36732 ,54911 ,1.02,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-MON,WI-GB.,REDWOOD LOGISTICS STR|   ,225764__,V.,AL,DEMOPOLIS ,WI,DE PERE   ,   4,  .95, .27, 986,1.98, 202, .44,  -5, -169,  -25, -462, -656,36830 ,36732 ,54115 ,1.00,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,AR-BAT,b: C2 FREIGHT RESOURC|   ,231334__,V.,AL,AUBURN    ,AR,BATESVILLE,   1, 1.40, .27, 481, .71,   0, .25, -28,    7,   61,  159,  227,36830 ,36830 ,72501 ,1.45,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-OPE,AR-LR.,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,AR,CABOT     ,   1, 1.52, .19, 467, .96,  55, .30,  10,  -62,    1,  140,   79,36101 ,36830 ,72023 ,1.49,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,GA-SAV,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,GA,STATESBORO,   8, 1.78, .19, 237, .98,  28, .28,   2,  -62,  -20,  -99, -181,36830 ,36830 ,30458 ,1.75,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,IA-DAV,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,IA,TIPTON    ,   1, 1.32, .19, 829,1.77,   0, .25,  17,  -62,   -2,  -90, -154,36830 ,36830 ,52772 ,1.29,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-OPE,IA-DM.,BRIGGS AND STRATTON  |   ,253950__,V.,AL,AUBURN    ,IA,ANKENY    ,   1, 1.56, .20, 909,2.04, 125, .35,   9,  -62,  -54,   24,  -92,35111 ,36830 ,50015 ,1.54,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
